image,area,perimeter,aspect_ratio,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h
11-original-500x-paint-5 Sn_segmented.png,1961,287.1370825767517,0.5393258426966292,15.658847526772055,52.433452320244776,0,0,48,89
11-original-500x-paint-5 Sn_segmented.png,6594,472.5168055295944,1.0103092783505154,222.28647255080375,43.178192296026694,177,0,98,97
11-original-500x-paint-5 Sn_segmented.png,2672,298.65180134773254,2.8461538461538463,413.7305389221557,13.959206586826348,348,0,111,39
11-original-500x-paint-5 Sn_segmented.png,5260,377.42135310173035,2.3220338983050848,556.2266159695818,21.45722433460076,485,0,137,59
11-original-500x-paint-5 Sn_segmented.png,1389,207.7228696346283,2.0,673.8905687544997,14.302375809935205,643,0,66,33
11-original-500x-paint-5 Sn_segmented.png,529,94.76955199241638,0.8571428571428571,773.2022684310019,11.497164461247637,762,0,24,28
11-original-500x-paint-5 Sn_segmented.png,2343,228.40916073322296,1.392156862745098,830.9154929577464,19.515151515151516,802,0,71,51
11-original-500x-paint-5 Sn_segmented.png,10601,489.30360305309296,1.5555555555555556,960.3504386378644,41.43071408357702,890,0,140,90
11-original-500x-paint-5 Sn_segmented.png,12073,722.1564149856567,1.9259259259259258,1142.256191501698,33.77238465998509,1039,0,208,108
11-original-500x-paint-5 Sn_segmented.png,715,108.22539496421814,0.8235294117647058,308.1272727272727,19.527272727272727,295,3,28,34
11-original-500x-paint-5 Sn_segmented.png,861,158.1665199995041,0.8222222222222222,726.5516840882694,32.40301974448316,708,11,37,45
11-original-500x-paint-5 Sn_segmented.png,5178,403.0020862817764,0.8785046728971962,394.7726921591348,85.55465430668211,346,33,94,107
11-original-500x-paint-5 Sn_segmented.png,1390,158.75230622291565,1.1818181818181819,485.3028776978417,59.80431654676259,459,39,52,44
11-original-500x-paint-5 Sn_segmented.png,2996,295.94826424121857,0.6551724137931034,324.4305740987984,87.03404539385848,295,44,57,87
