image_name,gt_area,gt_perimeter,gt_aspect_ratio,gt_centroid_x,gt_centroid_y,gt_bbox_x,gt_bbox_y,gt_bbox_w,gt_bbox_h
2-250x_1,1439,161.05382215976715,1.1818181818181819,45.7359277275886,16.155663655316193,21,0,52,44
2-250x_1,1266,150.71067643165588,0.8695652173913043,163.20695102685625,18.643759873617693,141,0,40,46
2-250x_1,785,139.15432786941528,0.7446808510638298,319.6165605095541,19.719745222929937,303,0,35,47
2-250x_1,637,134.81118178367615,1.0,385.75824175824175,14.676609105180534,369,0,35,35
2-250x_1,2872,228.26702547073364,0.9365079365079365,653.8763927576601,29.58426183844011,622,0,59,63
2-250x_1,16458,755.754395365715,1.8782608695652174,813.0734597156398,44.47302223842508,693,0,216,115
2-250x_1,1568,185.29646265506744,2.121212121212121,994.235331632653,12.457270408163266,957,0,70,33
2-250x_1,3267,242.40916085243225,1.4727272727272727,1135.626874808693,24.555249464340374,1097,0,81,55
2-250x_1,2736,330.3919162750244,0.9878048780487805,1243.701388888889,36.72624269005848,1199,0,81,82
2-250x_1,5843,464.0142802000046,0.4966887417218543,397.79120314906726,111.34160533972275,358,24,75,151
2-250x_1,1560,169.9238795042038,0.6612903225806451,111.49102564102564,63.43141025641026,91,33,41,62
2-250x_1,7240,407.58787274360657,0.875,578.2019337016575,96.48204419889503,537,33,105,120
2-250x_1,3609,287.9482647180557,0.8941176470588236,1199.7533942920477,84.04461069548351,1156,41,76,85
2-250x_1,740,148.8528115749359,0.7446808510638298,945.9081081081081,63.59324324324324,925,44,35,47
2-250x_1,1697,221.03657793998718,0.9032258064516129,28.95992928697702,73.66588096641131,0,47,56,62
2-250x_1,3165,276.73506128787994,0.935064935064935,736.1608214849921,99.59968404423381,705,61,72,77
2-250x_1,3417,367.8893897533417,0.87,1130.769388352356,111.366403277729,1092,68,87,100
2-250x_1,740,119.88224947452545,0.7073170731707317,195.87972972972972,102.66216216216216,181,80,29,41
2-250x_1,699,123.39696824550629,0.6,292.3361945636624,116.03862660944206,280,95,27,45
2-250x_1,739,113.15432786941528,0.6410256410256411,1258.765899864682,117.7767253044655,1247,99,25,39
2-250x_1,14442,664.6244510412216,0.6263157894736842,136.3995983935743,193.9832433181,78,102,119,190
2-250x_1,578,98.56854152679443,1.032258064516129,1063.8685121107267,122.55709342560553,1047,109,32,31
2-250x_1,586,111.15432786941528,0.4772727272727273,326.26450511945393,133.50511945392492,315,113,21,44
2-250x_1,1434,177.58073353767395,0.8653846153846154,651.5160390516039,141.43723849372384,631,115,45,52
2-250x_1,6067,548.5411911010742,1.8076923076923077,853.0758200098895,168.6088676446349,775,135,141,78
2-250x_1,1359,187.2375876903534,1.3636363636363635,1018.0073583517292,158.43119941133187,984,139,60,44
2-250x_1,2882,241.03657734394073,1.1724137931034482,956.8421235253296,187.80499653018737,923,160,68,58
2-250x_1,7817,488.05591011047363,1.8409090909090908,1092.8981706537036,203.90584623257004,1015,162,162,88
2-250x_1,22122,942.3300751447678,1.8391608391608392,560.4908236145014,238.3812042310822,443,177,263,143
2-250x_1,2910,260.4091603755951,0.6341463414634146,1259.8852233676976,217.97147766323025,1228,177,52,82
2-250x_1,2210,222.35028505325317,1.469387755102041,389.34796380090495,224.6393665158371,351,199,72,49
2-250x_1,2067,232.35028564929962,0.47619047619047616,317.91678761490084,247.43347847121433,297,205,40,84
2-250x_1,964,131.88224959373474,1.5862068965517242,757.6856846473029,224.57883817427387,733,209,46,29
2-250x_1,14089,944.2295694351196,1.9916666666666667,951.5380793526865,302.7282276953652,830,243,239,120
2-250x_1,851,118.46803617477417,0.8048780487804879,1138.572267920094,267.66274970622794,1123,248,33,41
2-250x_1,2671,227.62236404418945,0.8656716417910447,403.341070760015,292.0374391613628,373,259,58,67
2-250x_1,1265,174.40916097164154,1.4146341463414633,739.0395256916996,292.1802371541502,710,271,58,41
2-250x_1,1430,213.72286880016327,0.3411764705882353,1240.1937062937063,312.0874125874126,1226,274,29,85
2-250x_1,1378,205.37972271442413,1.7272727272727273,633.1255442670537,294.56168359941944,597,276,76,44
2-250x_1,6844,446.6589411497116,1.5853658536585367,138.27776154295734,333.87872589129165,80,297,130,82
2-250x_1,928,166.02438497543335,0.5333333333333333,1205.134698275862,326.2467672413793,1189,297,32,60
2-250x_1,2489,219.96551024913788,1.2363636363636363,30.882282040980314,331.96866211329854,0,304,68,55
2-250x_1,1730,226.59292650222778,1.1206896551724137,781.9329479768786,330.4387283236994,748,306,65,58
2-250x_1,690,124.76955163478851,0.36,1271.9971014492753,330.41449275362316,1262,308,18,50
2-250x_1,5449,455.7716394662857,1.2685185185185186,269.9862360066067,359.07285740502846,200,317,137,108
2-250x_1,735,141.78174424171448,0.8809523809523809,390.61496598639457,341.96462585034016,373,323,37,42
2-250x_1,4475,447.5289988517761,2.824561403508772,644.8925139664805,346.2922905027933,562,322,161,57
2-250x_1,1643,242.83556652069092,1.126984126984127,526.1533779671333,357.3104077906269,485,327,71,63
2-250x_1,1178,159.09545242786407,1.8125,1140.990662139219,348.3480475382003,1116,331,58,32
2-250x_1,921,170.36753058433533,0.391304347826087,346.9011943539631,373.8501628664495,334,341,27,69
2-250x_1,2191,308.1909055709839,2.58974358974359,1013.2186216339571,371.50570515746233,968,353,101,39
2-250x_1,1082,156.02438485622406,2.0,799.0554528650647,368.17190388170053,771,355,54,27
2-250x_1,1079,199.03657734394073,2.2666666666666666,472.8424467099166,376.30398517145505,441,362,68,30
2-250x_1,879,123.88224935531616,1.5714285714285714,582.8156996587031,378.94311717861206,562,365,44,28
2-250x_1,5165,429.48736894130707,2.1846153846153844,1156.7713455953533,401.2923523717328,1089,368,142,65
2-250x_1,1597,165.82337403297424,1.127659574468085,43.60300563556669,393.6462116468378,17,372,53,47
2-250x_1,6507,484.0142790079117,1.079646017699115,246.61533732903027,436.4040264330721,188,374,122,113
2-250x_1,873,119.05382263660431,0.7804878048780488,375.97021764032075,393.9644902634593,360,374,32,41
2-250x_1,3231,251.2792183160782,0.9855072463768116,126.34478489631692,416.0009285051068,88,380,68,69
2-250x_1,992,150.36753046512604,0.66,938.4657258064516,410.8538306451613,925,389,33,50
2-250x_1,741,117.98275482654572,0.65,426.67206477732793,425.19028340080973,414,405,26,40
2-250x_1,575,105.98275470733643,0.9333333333333333,585.4730434782608,426.84521739130435,573,413,28,30
2-250x_1,4353,343.22034311294556,1.9333333333333333,1232.4125890190674,441.26257753273603,1164,412,116,60
2-250x_1,2859,239.52185881137848,1.4285714285714286,678.4977264777895,448.9076600209864,644,418,80,56
2-250x_1,532,100.66904664039612,1.6818181818181819,892.156015037594,434.8251879699248,873,425,37,22
2-250x_1,1647,231.27921783924103,1.4807692307692308,361.73406193078324,452.2853673345477,327,426,77,52
2-250x_1,2250,230.69343197345734,1.0,973.8724444444445,453.5586666666667,948,429,62,62
2-250x_1,1431,224.9360715150833,1.4528301886792452,37.77847658979734,458.2159329140461,0,430,77,53
2-250x_1,875,157.33809316158295,2.2962962962962963,1130.2297142857142,446.8,1099,435,62,27
2-250x_1,1069,151.09545183181763,0.7222222222222222,611.8372310570627,467.4780168381665,591,440,39,54
2-250x_1,1009,146.8528118133545,1.0769230769230769,1036.8919722497521,463.4033696729435,1016,442,42,39
2-250x_1,1625,205.96550989151,1.5,545.248,469.5692307692308,509,448,69,46
2-250x_1,1475,165.23758733272552,1.2045454545454546,806.4345762711864,474.2813559322034,782,454,53,44
2-250x_1,1348,230.69343090057373,0.8,875.9295252225519,493.74703264094956,847,461,52,65
2-250x_1,6944,379.6467487812042,0.9523809523809523,721.7570564516129,518.1309043778801,674,469,100,105
2-250x_1,818,111.63960909843445,1.0606060606060606,327.9474327628362,488.2872860635697,310,472,35,33
2-250x_1,3851,561.3696180582047,2.289473684210526,430.8415995845235,503.8164113217346,343,472,174,76
2-250x_1,612,101.74011433124542,0.9666666666666667,1214.7205882352941,487.5571895424837,1201,473,29,30
2-250x_1,3773,296.87719643116,1.9298245614035088,68.79512324410284,504.54412934004773,13,475,110,57
2-250x_1,1489,210.9360717535019,1.4782608695652173,986.6722632639355,500.8663532572196,951,479,68,46
2-250x_1,2633,363.7888835668564,1.3043478260869565,1129.9973414356248,515.0129130269654,1084,482,90,69
2-250x_1,3857,366.4751754999161,0.5175438596491229,811.9320715582058,563.6069484054965,785,507,59,114
2-250x_1,3503,350.96045780181885,1.791044776119403,598.8755352554953,545.8287182415073,525,517,120,67
2-250x_1,670,113.88224995136261,1.5925925925925926,490.7597014925373,532.5507462686567,471,521,43,27
2-250x_1,740,114.8111823797226,0.627906976744186,1227.2391891891891,544.2310810810811,1213,523,27,43
2-250x_1,8593,975.9869294166565,1.1796875,395.94030024438496,593.21482602118,324,526,151,128
2-250x_1,5930,413.68837904930115,1.0093457943925233,529.3720067453626,592.6765598650927,487,547,108,107
2-250x_1,523,94.32590115070343,1.434782608695652,924.8413001912046,562.6290630975143,908,551,33,23
2-250x_1,1223,172.1665199995041,0.8627450980392157,36.73098937040066,578.1798855273917,13,552,44,51
2-250x_1,3721,304.91882717609406,0.7777777777777778,206.840365493147,599.4531040042999,165,554,77,99
2-250x_1,3876,346.5756801366806,1.6307692307692307,1109.6176470588234,586.6013931888544,1050,554,106,65
2-250x_1,832,122.46803593635559,1.6296296296296295,90.5829326923077,583.8016826923077,69,571,44,27
2-250x_1,1650,196.06601476669312,2.1142857142857143,948.1509090909091,594.5448484848484,906,576,74,35
2-250x_1,1449,169.33809304237366,1.1304347826086956,306.18633540372673,598.536231884058,281,578,52,46
2-250x_1,555,98.0832599401474,0.9666666666666667,63.645045045045045,616.3495495495496,48,604,29,30
2-250x_1,785,117.982754945755,1.064516129032258,855.4292993630573,617.968152866242,840,604,33,31
2-250x_1,625,104.56854128837585,1.0,622.1504,621.3856,606,607,32,32
2-250x_1,2816,360.3330408334732,0.8367346938775511,174.51242897727272,650.7784090909091,122,608,82,98
2-250x_1,2803,356.33304047584534,1.0138888888888888,34.0934712807706,661.1666072065644,0,624,73,72
2-250x_1,773,115.49747371673584,0.8611111111111112,1265.8279430789132,648.4333764553687,1249,630,31,36
2-250x_1,987,142.02438497543335,1.1842105263157894,914.7882472137791,653.4660587639311,891,633,45,38
2-250x_1,1779,295.2203427553177,2.4186046511627906,1105.149522203485,659.5548060708263,1054,638,104,43
2-250x_1,9776,560.0559096336365,0.5974025974025974,288.6125204582651,722.3277414075286,240,646,92,154
2-250x_1,2162,189.33809280395508,0.8135593220338984,433.9449583718779,676.8806660499538,409,648,48,59
2-250x_1,1462,213.6223646402359,2.5757575757575757,700.6662106703146,669.1894664842681,661,653,85,33
2-250x_1,4532,357.5462431907654,0.7310924369747899,394.41769638128864,721.0752427184466,349,659,87,119
2-250x_1,2157,234.69343161582947,1.4074074074074074,972.6133518776078,700.5085767269355,938,671,76,54
2-250x_1,2013,308.291410446167,3.075,1128.4098360655737,695.4590163934427,1064,675,123,40
2-250x_1,11240,799.1341170072556,0.6915422885572139,811.1489323843416,782.1471530249111,736,676,139,201
2-250x_1,520,123.05382251739502,1.125,911.9538461538461,704.6923076923077,894,690,36,32
2-250x_1,2302,256.73506128787994,2.5789473684210527,531.7380538662032,715.8175499565596,485,699,98,38
2-250x_1,3619,441.38686299324036,2.453125,599.217187068251,737.715667311412,515,702,157,64
2-250x_1,5785,332.09039986133575,1.1444444444444444,741.3659464131374,758.2307692307693,690,711,103,90
2-250x_1,3128,309.5634889602661,1.8,1238.0233375959078,740.1982097186701,1190,713,90,50
2-250x_1,1457,200.30865669250488,0.4666666666666667,231.3946465339739,765.1358956760466,217,722,35,75
2-250x_1,744,141.53910338878632,0.5918367346938775,362.2768817204301,752.3682795698925,347,726,29,49
2-250x_1,7826,486.5584352016449,0.7482014388489209,45.256197291081016,796.1141068234092,0,730,104,139
2-250x_1,15841,690.0802955627441,1.4155844155844155,974.9613029480462,807.6602487216716,854,731,218,154
2-250x_1,4476,321.60511887073517,0.9666666666666667,467.55406613047364,781.6630920464701,425,733,87,90
2-250x_1,1893,241.2203427553177,1.1694915254237288,674.526677231907,779.1310089804543,639,748,69,59
2-250x_1,1757,228.00714027881622,1.0615384615384615,1206.3198634035286,793.9971542401821,1172,765,69,65
2-250x_1,1182,208.12488996982574,0.27848101265822783,1271.0423011844332,820.6159052453469,1258,776,22,79
2-250x_1,1500,209.62236416339874,0.6349206349206349,527.9093333333333,809.0133333333333,508,778,40,63
2-250x_1,3094,354.7766910791397,0.5625,150.24789915966386,846.1916612798966,128,789,54,96
2-250x_1,1134,146.95331728458405,0.9761904761904762,624.452380952381,808.5802469135803,605,788,41,42
2-250x_1,5446,556.4995611906052,1.5357142857142858,271.4540947484392,842.3966213734851,198,801,129,84
2-250x_1,1266,178.06601512432098,1.5277777777777777,387.0,819.9431279620853,359,802,55,36
2-250x_1,908,155.92388033866882,0.8627450980392157,1218.2411894273127,831.2918502202643,1198,808,44,51
2-250x_1,2563,261.9066346883774,1.588235294117647,441.5360905189231,856.8720249707375,401,834,81,51
2-250x_1,3557,373.3797229528427,3.945945945945946,650.6061287601912,871.1830193983694,584,848,146,37
2-250x_1,633,112.76955199241638,1.1290322580645162,1231.4249605055293,872.1958925750395,1210,854,35,31
2-250x_1,583,100.87005710601807,0.7931034482758621,1268.8473413379074,871.1046312178388,1257,856,23,29
3-500x,1228,194.95331728458405,2.923076923076923,239.19951140065146,9.052117263843648,198,0,76,26
3-500x,19253,1292.6631132364273,0.9365079365079365,404.1409650444087,125.77411312522723,266,0,236,252
3-500x,1133,171.68123924732208,0.9,508.5127978817299,24.99646954986761,487,0,45,50
3-500x,30324,1118.2712001800537,0.7854251012145749,668.0532581453634,119.47935628545046,575,0,194,247
3-500x,51774,1195.4600166082382,1.5746606334841629,929.589118090161,90.62450264611581,776,0,348,221
3-500x,2534,332.676185965538,1.375,1167.4246250986582,34.29084451460142,1128,0,88,64
3-500x,754,135.74011409282684,1.8461538461538463,1216.2042440318303,8.8342175066313,1188,0,48,26
3-500x,957,139.35533821582794,0.6363636363636364,1268.0031347962383,19.603970741901776,1252,0,28,44
3-500x,4136,475.5289989709854,2.359375,145.69221470019343,39.17190522243714,86,5,151,64
3-500x,1371,217.09545242786407,0.6785714285714286,15.713347921225383,74.52589350838804,0,44,38,56
3-500x,6977,478.94321143627167,0.9915254237288136,1125.300988963738,111.47756915579762,1066,51,117,118
3-500x,511,89.49747347831726,0.8064516129032258,1250.7866927592954,76.95890410958904,1238,62,25,31
3-500x,2328,310.91882622241974,1.6538461538461537,543.5567010309278,87.6954467353952,502,66,86,52
3-500x,624,107.63960921764374,1.7391304347826086,72.56089743589743,83.5448717948718,53,74,40,23
3-500x,2413,303.5046138763428,1.8771929824561404,153.61375880646497,101.30294239535847,107,75,107,57
3-500x,7956,472.45793092250824,0.8153846153846154,322.1665409753645,130.9201860231272,264,77,106,130
3-500x,1091,188.06601512432098,1.4473684210526316,1245.5279560036663,114.20806599450046,1219,96,55,38
3-500x,2950,257.07820773124695,1.78,104.40983050847457,138.8149152542373,61,114,89,50
3-500x,7487,486.94321179389954,0.9333333333333333,228.8594897822893,194.1642847602511,170,132,112,120
3-500x,3399,290.1492749452591,0.6153846153846154,528.9838187702265,180.75022065313328,501,135,56,91
3-500x,6807,424.0315252542496,1.4404761904761905,1228.1330982811812,190.83193771117968,1159,153,121,84
3-500x,1061,150.75230705738068,1.2972972972972974,1075.0546654099905,181.69839773798304,1051,166,48,37
3-500x,10599,667.4945067167282,1.7741935483870968,921.2723841871875,234.81045381639777,815,183,220,124
3-500x,1316,202.30865609645844,0.7230769230769231,469.63981762917933,219.87158054711247,443,187,47,65
3-500x,4169,411.48736786842346,1.09375,131.54593427680499,240.8661549532262,73,195,105,96
3-500x,38998,2050.039872407913,1.6694214876033058,1072.6635212062156,313.202471921637,859,208,404,242
3-500x,1099,142.6101713180542,0.9285714285714286,317.7443130118289,244.48225659690627,301,226,39,42
3-500x,9180,568.340180516243,1.7010309278350515,636.6277777777777,294.8066448801743,542,242,165,97
3-500x,1983,210.5512968301773,0.9464285714285714,504.1906202723147,273.125567322239,479,246,53,56
3-500x,12678,776.9503509998322,0.6634146341463415,59.71706893831835,366.16784981858336,0,261,136,205
3-500x,1210,152.4680359363556,0.46551724137931033,261.5123966942149,294.3776859504132,247,266,27,58
